region,sector,price_type,year,value_million_thb
Whole Kingdom,"Arts, entertainment and recreation",chain_volume_measures_ref2002,2023,110315.65
Northeastern,Other service activities,chain_volume_measures_ref2002,2023,10021.149
Northern,Other service activities,chain_volume_measures_ref2002,2023,7940.91
Southern,Other service activities,chain_volume_measures_ref2002,2023,6529.461
Eastern,Other service activities,chain_volume_measures_ref2002,2023,10100.227
Western,Other service activities,chain_volume_measures_ref2002,2023,2194.715
Central,Other service activities,chain_volume_measures_ref2002,2023,3473.723
Bangkok & Vicinities,Other service activities,chain_volume_measures_ref2002,2023,124183.454
Whole Kingdom,Other service activities,chain_volume_measures_ref2002,2023,164098.601
Northeastern,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,1013364.604
Northern,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,713377.922
Southern,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,804613.8
Eastern,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,1798225.225
Western,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,339457.048
Central,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,562760.748
Bangkok & Vicinities,GRP and GDP (CVMs),chain_volume_measures_ref2002,2023,5738346.77
